Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Lyon,38,79,22,13,3,56,22
2,Lille,38,67,18,13,7,52,29
3,Monaco,38,63,15,18,5,52,35
4,Marseille,38,55,15,10,13,47,42
5,Rennes,38,55,15,10,13,49,42
6,Saint-Etienne,38,53,12,17,9,47,34
7,Auxerre,38,52,14,10,14,48,47
8,Lens,38,52,13,13,12,45,39
9,PSG,38,51,12,15,11,40,41
10,Sochaux,38,50,13,11,14,42,41
11,Strasbourg,38,48,12,12,14,42,43
12,Nice,38,46,10,16,12,38,45
13,Toulouse,38,46,12,10,16,36,43
14,AC Ajaccio,38,45,10,15,13,36,40
15,Bordeaux,38,44,8,20,10,37,41
16,Metz,38,44,10,14,14,33,45
17,Nantes,38,43,10,13,15,33,38
18,Caen,38,42,10,12,16,36,60
19,SC Bastia,38,41,11,8,19,32,48
20,Istres,38,32,6,14,18,25,51
