Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Monaco,38,95,30,5,3,107,31
2,PSG,38,87,27,6,5,83,27
3,Nice,38,78,22,12,4,63,36
4,Lyon,38,65,20,5,14,77,49
5,Marseille,38,62,17,11,10,57,41
6,Bordeaux,38,59,15,14,9,53,43
7,Nantes,38,51,14,9,15,40,54
8,Saint-Etienne,38,50,12,14,12,41,42
9,Rennes,38,50,12,14,12,36,42
10,Guingamp,38,50,14,8,16,46,53
11,Lille,38,46,13,7,18,40,47
12,Angers,38,46,13,7,18,40,49
13,Metz,38,46,12,10,17,40,72
14,Toulouse,38,44,10,14,14,37,41
15,Montpellier,38,39,10,9,19,48,66
16,Dijon,38,37,8,13,17,46,58
17,Caen,38,37,10,7,21,36,65
18,Lorient,38,36,10,6,22,44,70
19,Nancy,38,35,9,8,21,29,52
20,SC Bastia,38,35,8,11,19,29,54
