Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Nantes,34,68,21,5,8,58,36
2,Lyon,34,64,17,13,4,57,30
3,Lille,34,59,16,11,7,43,27
4,Bordeaux,34,57,15,12,7,48,33
5,Sedan,34,52,14,10,10,47,40
6,Rennes,34,48,14,6,14,46,39
7,Troyes,34,46,11,13,10,45,47
8,SC Bastia,34,45,13,6,15,45,41
9,Guingamp,34,44,11,11,12,40,48
10,PSG,34,44,12,8,14,44,45
11,Metz,34,43,11,10,13,37,44
12,Monaco,34,43,12,7,15,53,50
13,Auxerre,34,41,11,8,15,31,41
14,Lens,34,40,9,13,12,37,39
15,Marseille,34,40,11,7,16,31,40
16,Saint-Etienne,34,37,9,10,15,43,56
17,Toulouse,34,34,8,10,16,34,50
18,Strasbourg,34,29,7,8,19,28,61
