Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Bordeaux,38,80,24,8,6,64,34
2,Marseille,38,77,22,11,5,67,35
3,Lyon,38,71,20,11,7,52,29
4,Toulouse,38,64,16,16,6,45,27
5,Lille,38,64,17,13,8,51,39
6,PSG,38,64,19,7,12,49,38
7,Rennes,38,61,15,16,7,42,34
8,Auxerre,38,55,16,7,15,35,35
9,Nice,38,50,13,11,14,40,41
10,Lorient,38,45,10,15,13,47,47
11,Monaco,38,45,11,12,15,41,45
12,Valenciennes,38,44,10,14,14,35,42
13,Grenoble,38,44,10,14,14,24,37
14,Sochaux,38,42,10,12,16,40,48
15,Nancy,38,42,10,12,16,38,47
16,Le Mans,38,40,10,10,18,43,54
17,Saint-Etienne,38,40,11,7,20,40,56
18,Caen,38,37,8,13,17,42,49
19,Nantes,38,37,9,10,19,33,54
20,Le Havre,38,26,7,5,26,30,67
