Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-bayern-munchen,34,19,9,6,62,37,63,1.8529411764705883
fc-schalke-04,34,18,8,8,65,35,62,1.8235294117647058
borussia-dortmund,34,16,8,10,62,42,58,1.7058823529411764
bayer-04-leverkusen,34,17,11,6,54,40,57,1.6764705882352942
hertha-bsc,34,18,14,2,58,52,56,1.6470588235294117
sc-freiburg,34,15,9,10,54,37,55,1.6176470588235294
sv-werder-bremen,34,15,11,8,53,48,53,1.5588235294117647
1-fc-kaiserslautern,34,15,14,5,49,54,50,1.4705882352941178
vfl-wolfsburg,34,12,11,11,60,45,47,1.3823529411764706
1-fc-koln,34,12,12,10,59,52,46,1.3529411764705883
tsv-1860-munchen,34,12,14,8,43,55,44,1.2941176470588236
fc-hansa-rostock,34,12,15,7,34,47,43,1.2647058823529411
hamburger-sv,34,10,13,11,58,58,41,1.2058823529411764
fc-energie-cottbus,34,12,19,3,38,52,39,1.1470588235294117
vfb-stuttgart,34,9,14,11,42,49,38,1.1176470588235294
spvgg-unterhaching,34,8,15,11,35,59,35,1.0294117647058822
eintracht-frankfurt,34,10,19,5,41,68,35,1.0294117647058822
vfl-bochum,34,7,21,6,30,67,27,0.7941176470588235
