Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
vfl-wolfsburg,34,21,7,6,80,41,69,2.0294117647058822
fc-bayern-munchen,34,20,7,7,71,42,67,1.9705882352941178
vfb-stuttgart,34,19,8,7,63,43,64,1.8823529411764706
hertha-bsc,34,19,9,6,48,41,63,1.8529411764705883
hamburger-sv,34,19,11,4,49,47,61,1.7941176470588236
borussia-dortmund,34,15,5,14,60,37,59,1.7352941176470589
tsg-1899-hoffenheim,34,15,9,10,63,49,55,1.6176470588235294
fc-schalke-04,34,14,12,8,47,35,50,1.4705882352941178
bayer-04-leverkusen,34,14,13,7,59,46,49,1.4411764705882353
sv-werder-bremen,34,12,13,9,64,50,45,1.3235294117647058
hannover-96,34,10,14,10,49,69,40,1.1764705882352942
1-fc-koln,34,11,17,6,35,50,39,1.1470588235294117
eintracht-frankfurt,34,8,17,9,39,60,33,0.9705882352941176
vfl-bochum,34,7,16,11,39,55,32,0.9411764705882353
borussia-monchengladbach,34,8,19,7,39,62,31,0.9117647058823529
fc-energie-cottbus,34,8,20,6,30,57,30,0.8823529411764706
karlsruher-sc,34,8,21,5,30,54,29,0.8529411764705882
arminia-bielefeld,34,4,14,16,29,56,28,0.8235294117647058
