Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-bayern-munchen,34,24,5,5,75,33,77,2.264705882352941
fc-schalke-04,34,20,11,3,56,46,63,1.8529411764705883
sv-werder-bremen,34,18,11,5,68,37,59,1.7352941176470589
hertha-bsc,34,15,6,13,59,31,58,1.7058823529411764
vfb-stuttgart,34,17,10,7,54,40,58,1.7058823529411764
bayer-04-leverkusen,34,16,9,9,65,44,57,1.6764705882352942
borussia-dortmund,34,15,9,10,47,44,55,1.6176470588235294
hamburger-sv,34,16,15,3,55,50,51,1.5
vfl-wolfsburg,34,15,16,3,49,51,48,1.411764705882353
hannover-96,34,13,15,6,34,36,45,1.3235294117647058
1-fsv-mainz-05,34,12,15,7,50,55,43,1.2647058823529411
1-fc-kaiserslautern,34,12,16,6,43,52,42,1.2352941176470589
arminia-bielefeld,34,11,16,7,37,49,40,1.1764705882352942
1-fc-nurnberg,34,10,16,8,55,63,38,1.1176470588235294
borussia-monchengladbach,34,8,14,12,35,51,36,1.0588235294117647
vfl-bochum,34,9,17,8,47,68,35,1.0294117647058822
fc-hansa-rostock,34,7,18,9,31,65,30,0.8823529411764706
sc-freiburg,34,3,22,9,30,75,18,0.5294117647058824
