Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
borussia-dortmund,34,25,3,6,80,25,81,2.3823529411764706
fc-bayern-munchen,34,23,7,4,77,22,73,2.1470588235294117
fc-schalke-04,34,20,10,4,74,44,64,1.8823529411764706
borussia-monchengladbach,34,17,8,9,49,24,60,1.7647058823529411
bayer-04-leverkusen,34,15,10,9,52,44,54,1.588235294117647
vfb-stuttgart,34,15,11,8,63,46,53,1.5588235294117647
hannover-96,34,12,10,12,41,45,48,1.411764705882353
vfl-wolfsburg,34,13,16,5,47,60,44,1.2941176470588236
sv-werder-bremen,34,11,14,9,49,58,42,1.2352941176470589
1-fc-nurnberg,34,12,16,6,38,49,42,1.2352941176470589
tsg-1899-hoffenheim,34,10,13,11,41,47,41,1.2058823529411764
sc-freiburg,34,10,14,10,45,61,40,1.1764705882352942
1-fsv-mainz-05,34,9,13,12,47,51,39,1.1470588235294117
fc-augsburg,34,8,12,14,36,49,38,1.1176470588235294
hamburger-sv,34,8,14,12,35,57,36,1.0588235294117647
hertha-bsc,34,7,17,10,38,64,31,0.9117647058823529
1-fc-koln,34,8,20,6,39,75,30,0.8823529411764706
1-fc-kaiserslautern,34,4,19,11,24,54,23,0.6764705882352942
