Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
vfb-stuttgart,34,21,6,7,61,37,70,2.0588235294117645
fc-schalke-04,34,21,8,5,53,32,68,2.0
sv-werder-bremen,34,20,8,6,76,40,66,1.9411764705882353
fc-bayern-munchen,34,18,10,6,55,40,60,1.7647058823529411
bayer-04-leverkusen,34,15,13,6,54,49,51,1.5
1-fc-nurnberg,34,11,8,15,43,32,48,1.411764705882353
hamburger-sv,34,10,9,15,43,37,45,1.3235294117647058
vfl-bochum,34,13,15,6,49,50,45,1.3235294117647058
borussia-dortmund,34,12,14,8,41,43,44,1.2941176470588236
hertha-bsc,34,12,14,8,50,55,44,1.2941176470588236
hannover-96,34,12,14,8,41,50,44,1.2941176470588236
arminia-bielefeld,34,11,14,9,47,49,42,1.2352941176470589
fc-energie-cottbus,34,11,15,8,38,49,41,1.2058823529411764
eintracht-frankfurt,34,9,12,13,46,58,40,1.1764705882352942
vfl-wolfsburg,34,8,13,13,37,45,37,1.088235294117647
1-fsv-mainz-05,34,8,16,10,34,57,34,1.0
alemannia-aachen,34,9,18,7,46,70,34,1.0
borussia-monchengladbach,34,6,20,8,23,44,26,0.7647058823529411
