Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-bayern-munchen,34,29,1,4,98,18,91,2.676470588235294
borussia-dortmund,34,19,6,9,81,42,66,1.9411764705882353
bayer-04-leverkusen,34,19,7,8,65,39,65,1.911764705882353
fc-schalke-04,34,16,11,7,58,50,55,1.6176470588235294
sc-freiburg,34,14,11,9,45,40,51,1.5
eintracht-frankfurt,34,14,11,9,49,46,51,1.5
hamburger-sv,34,14,14,6,42,53,48,1.411764705882353
borussia-monchengladbach,34,12,11,11,45,49,47,1.3823529411764706
hannover-96,34,13,15,6,60,62,45,1.3235294117647058
1-fc-nurnberg,34,11,12,11,39,47,44,1.2941176470588236
vfl-wolfsburg,34,10,11,13,47,52,43,1.2647058823529411
vfb-stuttgart,34,12,15,7,37,55,43,1.2647058823529411
1-fsv-mainz-05,34,10,12,12,42,44,42,1.2352941176470589
sv-werder-bremen,34,8,16,10,50,66,34,1.0
fc-augsburg,34,8,17,9,33,51,33,0.9705882352941176
tsg-1899-hoffenheim,34,8,19,7,42,67,31,0.9117647058823529
fortuna-dusseldorf,34,7,18,9,39,57,30,0.8823529411764706
spvgg-greuther-furth,34,4,21,9,26,60,21,0.6176470588235294
