Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-bayern-munchen,34,20,3,11,68,34,71,2.088235294117647
bayer-04-leverkusen,34,21,7,6,69,41,69,2.0294117647058822
borussia-dortmund,34,19,9,6,63,41,63,1.8529411764705883
vfb-stuttgart,34,18,9,7,78,40,61,1.7941176470588236
vfl-bochum,34,14,9,11,54,51,53,1.5588235294117647
karlsruher-sc,34,13,11,10,55,44,49,1.4411764705882353
tsv-1860-munchen,34,13,11,10,56,56,49,1.4411764705882353
sv-werder-bremen,34,14,14,6,53,52,48,1.411764705882353
msv-duisburg,34,12,13,9,44,49,45,1.3235294117647058
1-fc-koln,34,13,16,5,62,62,44,1.2941176470588236
borussia-monchengladbach,34,12,15,7,46,48,43,1.2647058823529411
fc-schalke-04,34,11,13,10,35,40,43,1.2647058823529411
hamburger-sv,34,10,13,11,46,60,41,1.2058823529411764
arminia-bielefeld,34,11,16,7,46,54,40,1.1764705882352942
fc-hansa-rostock,34,11,16,7,35,46,40,1.1764705882352942
fortuna-dusseldorf,34,9,19,6,26,57,33,0.9705882352941176
sc-freiburg,34,8,21,5,43,67,29,0.8529411764705882
fc-st-pauli,34,7,21,6,32,69,27,0.7941176470588235
