Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-bayern-munchen,34,28,2,4,80,17,88,2.588235294117647
borussia-dortmund,34,24,4,6,82,34,78,2.2941176470588234
bayer-04-leverkusen,34,18,10,6,56,40,60,1.7647058823529411
borussia-monchengladbach,34,17,13,4,67,50,55,1.6176470588235294
fc-schalke-04,34,15,12,7,51,49,52,1.5294117647058822
1-fsv-mainz-05,34,14,12,8,46,42,50,1.4705882352941178
hertha-bsc,34,14,12,8,42,42,50,1.4705882352941178
vfl-wolfsburg,34,12,13,9,47,49,45,1.3235294117647058
1-fc-koln,34,10,11,13,38,42,43,1.2647058823529411
hamburger-sv,34,11,15,8,40,46,41,1.2058823529411764
fc-ingolstadt-04,34,10,14,10,33,42,40,1.1764705882352942
fc-augsburg,34,9,14,11,42,52,38,1.1176470588235294
sv-werder-bremen,34,10,16,8,50,65,38,1.1176470588235294
sv-darmstadt-98,34,9,14,11,38,53,38,1.1176470588235294
tsg-1899-hoffenheim,34,9,15,10,39,54,37,1.088235294117647
eintracht-frankfurt,34,9,16,9,34,52,36,1.0588235294117647
vfb-stuttgart,34,9,19,6,50,75,33,0.9705882352941176
hannover-96,34,7,23,4,31,62,25,0.7352941176470589
