Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-bayern-munchen,34,29,2,3,94,23,90,2.6470588235294117
borussia-dortmund,34,22,7,5,80,38,71,2.088235294117647
fc-schalke-04,34,19,8,7,63,43,64,1.8823529411764706
bayer-04-leverkusen,34,19,11,4,60,41,61,1.7941176470588236
vfl-wolfsburg,34,18,10,6,63,50,60,1.7647058823529411
borussia-monchengladbach,34,16,11,7,59,43,55,1.6176470588235294
1-fsv-mainz-05,34,16,13,5,52,54,53,1.5588235294117647
fc-augsburg,34,15,12,7,47,47,52,1.5294117647058822
tsg-1899-hoffenheim,34,11,12,11,72,70,44,1.2941176470588236
hannover-96,34,12,16,6,46,59,42,1.2352941176470589
hertha-bsc,34,11,15,8,40,48,41,1.2058823529411764
sv-werder-bremen,34,10,15,9,42,66,39,1.1470588235294117
eintracht-frankfurt,34,9,16,9,40,57,36,1.0588235294117647
sc-freiburg,34,9,16,9,43,61,36,1.0588235294117647
vfb-stuttgart,34,8,18,8,49,62,32,0.9411764705882353
hamburger-sv,34,7,21,6,51,75,27,0.7941176470588235
1-fc-nurnberg,34,5,18,11,37,70,26,0.7647058823529411
eintracht-braunschweig,34,6,21,7,29,60,25,0.7352941176470589
