Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
borussia-dortmund,34,21,6,7,62,33,70,2.0588235294117645
bayer-04-leverkusen,34,21,7,6,77,38,69,2.0294117647058822
fc-bayern-munchen,34,20,6,8,65,25,68,2.0
hertha-bsc,34,18,9,7,61,38,61,1.7941176470588236
fc-schalke-04,34,18,9,7,52,36,61,1.7941176470588236
sv-werder-bremen,34,17,12,5,54,43,56,1.6470588235294117
1-fc-kaiserslautern,34,17,12,5,62,53,56,1.6470588235294117
vfb-stuttgart,34,13,10,11,47,43,50,1.4705882352941178
tsv-1860-munchen,34,15,14,5,59,59,50,1.4705882352941178
vfl-wolfsburg,34,13,14,7,57,49,46,1.3529411764705883
hamburger-sv,34,10,14,10,51,57,40,1.1764705882352942
borussia-monchengladbach,34,9,13,12,41,53,39,1.1470588235294117
fc-energie-cottbus,34,9,17,8,36,60,35,1.0294117647058822
fc-hansa-rostock,34,9,18,7,35,54,34,1.0
1-fc-nurnberg,34,10,20,4,34,57,34,1.0
sc-freiburg,34,7,18,9,37,64,30,0.8823529411764706
1-fc-koln,34,7,19,8,26,61,29,0.8529411764705882
fc-st-pauli,34,4,20,10,37,70,22,0.6470588235294118
