Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-bayern-munchen,34,23,5,6,70,25,75,2.2058823529411766
vfb-stuttgart,34,17,9,8,53,39,59,1.7352941176470589
borussia-dortmund,34,15,6,13,51,27,58,1.7058823529411764
hamburger-sv,34,15,8,11,46,36,56,1.6470588235294117
hertha-bsc,34,16,12,6,52,43,54,1.588235294117647
sv-werder-bremen,34,16,14,4,51,50,52,1.5294117647058822
fc-schalke-04,34,12,9,13,46,40,49,1.4411764705882353
vfl-wolfsburg,34,13,14,7,39,42,46,1.3529411764705883
vfl-bochum,34,12,13,9,55,56,45,1.3235294117647058
tsv-1860-munchen,34,12,13,9,44,52,45,1.3235294117647058
hannover-96,34,12,15,7,47,57,43,1.2647058823529411
borussia-monchengladbach,34,11,14,9,43,45,42,1.2352941176470589
fc-hansa-rostock,34,11,15,8,35,41,41,1.2058823529411764
1-fc-kaiserslautern,34,10,14,10,40,42,40,1.1764705882352942
bayer-04-leverkusen,34,11,16,7,47,56,40,1.1764705882352942
arminia-bielefeld,34,8,14,12,35,46,36,1.0588235294117647
1-fc-nurnberg,34,8,20,6,33,60,30,0.8823529411764706
fc-energie-cottbus,34,7,18,9,34,64,30,0.8823529411764706
