Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
1-fc-kaiserslautern,34,19,4,11,63,39,68,2.0
fc-bayern-munchen,34,19,6,9,69,37,66,1.9411764705882353
bayer-04-leverkusen,34,14,7,13,66,39,55,1.6176470588235294
vfb-stuttgart,34,14,10,10,55,49,52,1.5294117647058822
fc-schalke-04,34,13,8,13,38,32,52,1.5294117647058822
fc-hansa-rostock,34,14,11,9,54,46,51,1.5
sv-werder-bremen,34,14,12,8,43,47,50,1.4705882352941178
msv-duisburg,34,11,12,11,43,44,44,1.2941176470588236
hamburger-sv,34,11,12,11,38,46,44,1.2941176470588236
borussia-dortmund,34,11,13,10,57,55,43,1.2647058823529411
hertha-bsc,34,12,15,7,41,53,43,1.2647058823529411
vfl-bochum,34,11,15,8,41,49,41,1.2058823529411764
tsv-1860-munchen,34,11,15,8,43,54,41,1.2058823529411764
vfl-wolfsburg,34,11,17,6,38,54,39,1.1470588235294117
borussia-monchengladbach,34,9,14,11,54,59,38,1.1176470588235294
karlsruher-sc,34,9,14,11,48,60,38,1.1176470588235294
1-fc-koln,34,10,18,6,49,64,36,1.0588235294117647
arminia-bielefeld,34,8,18,8,43,56,32,0.9411764705882353
