Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-bayern-munchen,34,24,4,6,76,28,78,2.2941176470588234
bayer-04-leverkusen,34,17,5,12,61,30,63,1.8529411764705883
hertha-bsc,34,18,8,8,59,32,62,1.8235294117647058
borussia-dortmund,34,16,9,9,48,34,57,1.6764705882352942
1-fc-kaiserslautern,34,17,11,6,51,47,57,1.6764705882352942
vfl-wolfsburg,34,15,9,10,54,49,55,1.6176470588235294
hamburger-sv,34,13,10,11,47,46,50,1.4705882352941178
msv-duisburg,34,13,11,10,48,45,49,1.4411764705882353
tsv-1860-munchen,34,11,15,8,49,56,41,1.2058823529411764
fc-schalke-04,34,10,13,11,41,54,41,1.2058823529411764
vfb-stuttgart,34,9,13,12,41,48,39,1.1470588235294117
sc-freiburg,34,10,15,9,36,44,39,1.1470588235294117
sv-werder-bremen,34,10,16,8,41,47,38,1.1176470588235294
fc-hansa-rostock,34,9,14,11,49,58,38,1.1176470588235294
eintracht-frankfurt,34,9,15,10,44,54,37,1.088235294117647
1-fc-nurnberg,34,7,11,16,40,50,37,1.088235294117647
vfl-bochum,34,7,19,8,40,65,29,0.8529411764705882
borussia-monchengladbach,34,4,21,9,41,79,21,0.6176470588235294
