Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
borussia-dortmund,34,23,5,6,67,22,75,2.2058823529411766
bayer-04-leverkusen,34,20,6,8,64,44,68,2.0
fc-bayern-munchen,34,19,7,8,81,40,65,1.911764705882353
hannover-96,34,19,12,3,49,45,60,1.7647058823529411
1-fsv-mainz-05,34,18,12,4,52,39,58,1.7058823529411764
1-fc-nurnberg,34,13,13,8,47,45,47,1.3823529411764706
1-fc-kaiserslautern,34,13,14,7,48,51,46,1.3529411764705883
hamburger-sv,34,12,13,9,46,52,45,1.3235294117647058
sc-freiburg,34,13,16,5,41,50,44,1.2941176470588236
1-fc-koln,34,13,16,5,47,62,44,1.2941176470588236
tsg-1899-hoffenheim,34,11,13,10,50,50,43,1.2647058823529411
vfb-stuttgart,34,12,16,6,60,59,42,1.2352941176470589
sv-werder-bremen,34,10,13,11,47,61,41,1.2058823529411764
fc-schalke-04,34,11,16,7,38,44,40,1.1764705882352942
vfl-wolfsburg,34,9,14,11,43,48,38,1.1176470588235294
borussia-monchengladbach,34,10,18,6,48,65,36,1.0588235294117647
eintracht-frankfurt,34,9,18,7,31,49,34,1.0
fc-st-pauli,34,8,21,5,35,68,29,0.8529411764705882
