Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-bayern-munchen,34,25,2,7,89,22,82,2.411764705882353
rasenballsport-leipzig,34,20,7,7,66,39,67,1.9705882352941178
borussia-dortmund,34,18,6,10,72,40,64,1.8823529411764706
tsg-1899-hoffenheim,34,16,4,14,64,37,62,1.8235294117647058
1-fc-koln,34,12,9,13,51,42,49,1.4411764705882353
hertha-bsc,34,15,15,4,43,47,49,1.4411764705882353
sc-freiburg,34,14,14,6,42,60,48,1.411764705882353
sv-werder-bremen,34,13,15,6,61,64,45,1.3235294117647058
borussia-monchengladbach,34,12,13,9,45,49,45,1.3235294117647058
fc-schalke-04,34,11,13,10,45,40,43,1.2647058823529411
eintracht-frankfurt,34,11,14,9,36,43,42,1.2352941176470589
bayer-04-leverkusen,34,11,15,8,53,55,41,1.2058823529411764
fc-augsburg,34,9,14,11,35,51,38,1.1176470588235294
hamburger-sv,34,10,16,8,33,61,38,1.1176470588235294
1-fsv-mainz-05,34,10,17,7,44,55,37,1.088235294117647
vfl-wolfsburg,34,10,17,7,34,52,37,1.088235294117647
fc-ingolstadt-04,34,8,18,8,36,57,32,0.9411764705882353
sv-darmstadt-98,34,7,23,4,28,63,25,0.7352941176470589
