Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-bayern-munchen,34,22,2,10,68,21,76,2.235294117647059
sv-werder-bremen,34,20,8,6,75,45,66,1.9411764705882353
fc-schalke-04,34,18,6,10,55,32,64,1.8823529411764706
hamburger-sv,34,14,8,12,47,26,54,1.588235294117647
vfl-wolfsburg,34,15,10,9,58,46,54,1.588235294117647
vfb-stuttgart,34,16,14,4,57,57,52,1.5294117647058822
bayer-04-leverkusen,34,15,13,6,57,40,51,1.5
hannover-96,34,13,11,10,54,56,49,1.4411764705882353
eintracht-frankfurt,34,12,12,10,43,50,46,1.3529411764705883
hertha-bsc,34,12,14,8,39,44,44,1.2941176470588236
karlsruher-sc,34,11,13,10,38,53,43,1.2647058823529411
vfl-bochum,34,10,13,11,48,54,41,1.2058823529411764
borussia-dortmund,34,10,14,10,50,62,40,1.1764705882352942
fc-energie-cottbus,34,9,16,9,35,56,36,1.0588235294117647
arminia-bielefeld,34,8,16,10,35,60,34,1.0
1-fc-nurnberg,34,7,17,10,35,51,31,0.9117647058823529
fc-hansa-rostock,34,8,20,6,30,52,30,0.8823529411764706
msv-duisburg,34,8,21,5,36,55,29,0.8529411764705882
