Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-bayern-munchen,34,20,4,10,72,31,70,2.0588235294117645
fc-schalke-04,34,19,7,8,53,31,65,1.911764705882353
sv-werder-bremen,34,17,7,10,71,40,61,1.7941176470588236
bayer-04-leverkusen,34,15,5,14,65,38,59,1.7352941176470589
borussia-dortmund,34,16,9,9,54,42,57,1.6764705882352942
vfb-stuttgart,34,15,9,10,51,41,55,1.6176470588235294
hamburger-sv,34,13,8,13,56,41,52,1.5294117647058822
vfl-wolfsburg,34,14,12,8,64,58,50,1.4705882352941178
1-fsv-mainz-05,34,12,11,11,36,42,47,1.3823529411764706
eintracht-frankfurt,34,12,12,10,47,54,46,1.3529411764705883
tsg-1899-hoffenheim,34,11,14,9,44,42,42,1.2352941176470589
borussia-monchengladbach,34,10,15,9,43,60,39,1.1470588235294117
1-fc-koln,34,9,14,11,33,42,38,1.1176470588235294
sc-freiburg,34,9,17,8,35,59,35,1.0294117647058822
hannover-96,34,9,19,6,43,67,33,0.9705882352941176
1-fc-nurnberg,34,8,19,7,32,58,31,0.9117647058823529
vfl-bochum,34,6,18,10,33,64,28,0.8235294117647058
hertha-bsc,34,5,20,9,34,56,24,0.7058823529411765
