Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-bayern-munchen,34,22,5,7,73,28,73,2.1470588235294117
bayer-04-leverkusen,34,21,3,10,74,36,73,2.1470588235294117
hamburger-sv,34,16,7,11,63,39,59,1.7352941176470589
tsv-1860-munchen,34,14,9,11,55,48,53,1.5588235294117647
1-fc-kaiserslautern,34,15,14,5,54,59,50,1.4705882352941178
hertha-bsc,34,13,10,11,39,46,50,1.4705882352941178
vfl-wolfsburg,34,12,9,13,51,58,49,1.4411764705882353
vfb-stuttgart,34,14,14,6,44,47,48,1.411764705882353
sv-werder-bremen,34,13,13,8,65,52,47,1.3823529411764706
spvgg-unterhaching,34,12,14,8,40,42,44,1.2941176470588236
borussia-dortmund,34,9,12,13,41,38,40,1.1764705882352942
sc-freiburg,34,10,14,10,45,50,40,1.1764705882352942
fc-schalke-04,34,8,11,15,42,44,39,1.1470588235294117
eintracht-frankfurt,34,12,17,5,42,44,39,1.1470588235294117
fc-hansa-rostock,34,8,12,14,44,60,38,1.1176470588235294
ssv-ulm-1846,34,9,17,8,36,62,35,1.0294117647058822
arminia-bielefeld,34,7,18,9,40,61,30,0.8823529411764706
msv-duisburg,34,4,20,10,37,71,22,0.6470588235294118
