Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Bayern Munich,34,82,25,7,2,89,22
2,RasenBallsport Leipzig,34,67,20,7,7,66,39
3,Borussia Dortmund,34,64,18,10,6,72,40
4,Hoffenheim,34,62,16,14,4,64,37
5,FC Köln,34,49,12,13,9,51,42
6,Hertha Berlin,34,49,15,4,15,43,47
7,Freiburg,34,48,14,6,14,42,60
8,Werder Bremen,34,45,13,6,15,61,64
9,Borussia Moenchengladbach,34,45,12,9,13,45,49
10,Schalke 04,34,43,11,10,13,45,40
11,Eintracht Frankfurt,34,42,11,9,14,36,43
12,Bayer Leverkusen,34,41,11,8,15,53,55
13,Augsburg,34,38,9,11,14,35,51
14,Hamburger SV,34,38,10,8,16,33,61
15,Mainz 05,34,37,10,7,17,44,55
16,Wolfsburg,34,37,10,7,17,34,52
17,Ingolstadt,34,32,8,8,18,36,57
18,Darmstadt,34,25,7,4,23,28,63
