Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Bayern Munich,34,79,25,4,5,80,18
2,Wolfsburg,34,69,20,9,5,72,38
3,Borussia Moenchengladbach,34,66,19,9,6,53,26
4,Bayer Leverkusen,34,61,17,10,7,62,37
5,Augsburg,34,49,15,4,15,43,43
6,Schalke 04,34,48,13,9,12,42,40
7,Borussia Dortmund,34,46,13,7,14,47,42
8,Hoffenheim,34,44,12,8,14,49,55
9,Eintracht Frankfurt,34,43,11,10,13,56,62
10,Werder Bremen,34,43,11,10,13,50,65
11,Mainz 05,34,40,9,13,12,45,47
12,FC Köln,34,40,9,13,12,34,40
13,Hannover 96,34,37,9,10,15,40,56
14,VfB Stuttgart,34,36,9,9,16,42,60
15,Hertha Berlin,34,35,9,8,17,36,52
16,Hamburger SV,34,35,9,8,17,25,50
17,Freiburg,34,34,7,13,14,36,47
18,Paderborn,34,31,7,10,17,31,65
