Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,VfB Stuttgart,34,70,21,7,6,61,37
2,Schalke 04,34,68,21,5,8,53,32
3,Werder Bremen,34,66,20,6,8,76,40
4,Bayern Munich,34,60,18,6,10,55,40
5,Bayer Leverkusen,34,51,15,6,13,54,49
6,Nuernberg,34,48,11,15,8,43,32
7,Hamburger SV,34,45,10,15,9,43,37
8,Bochum,34,45,13,6,15,49,50
9,Borussia Dortmund,34,44,12,8,14,41,43
10,Hertha Berlin,34,44,12,8,14,50,55
11,Hannover 96,34,44,12,8,14,41,50
12,Arminia Bielefeld,34,42,11,9,14,47,49
13,Energie Cottbus,34,41,11,8,15,38,49
14,Eintracht Frankfurt,34,40,9,13,12,46,58
15,Wolfsburg,34,37,8,13,13,37,45
16,Mainz 05,34,34,8,10,16,34,57
17,Alemannia Aachen,34,34,9,7,18,46,70
18,Borussia Moenchengladbach,34,26,6,8,20,23,44
