Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Borussia Dortmund,34,70,21,7,6,62,33
2,Bayer Leverkusen,34,69,21,6,7,77,38
3,Bayern Munich,34,68,20,8,6,65,25
4,Hertha Berlin,34,61,18,7,9,61,38
5,Schalke 04,34,61,18,7,9,52,36
6,Kaiserslautern,34,56,17,5,12,62,53
7,Werder Bremen,34,56,17,5,12,54,43
8,1860 Muenchen,34,50,15,5,14,59,59
9,VfB Stuttgart,34,50,13,11,10,47,43
10,Wolfsburg,34,46,13,7,14,57,49
11,Hamburger SV,34,40,10,10,14,51,57
12,Borussia Moenchengladbach,34,39,9,12,13,41,53
13,Energie Cottbus,34,35,9,8,17,36,60
14,Hansa Rostock,34,34,9,7,18,35,54
15,Nuernberg,34,34,10,4,20,34,57
16,Freiburg,34,30,7,9,18,37,64
17,FC Köln,34,29,7,8,19,26,61
18,St. Pauli,34,22,4,10,20,37,70
