Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Bayern Munich,34,76,22,10,2,68,21
2,Werder Bremen,34,66,20,6,8,75,45
3,Schalke 04,34,64,18,10,6,55,32
4,Hamburger SV,34,54,14,12,8,47,26
5,Wolfsburg,34,54,15,9,10,58,46
6,VfB Stuttgart,34,52,16,4,14,57,57
7,Bayer Leverkusen,34,51,15,6,13,57,40
8,Hannover 96,34,49,13,10,11,54,56
9,Eintracht Frankfurt,34,46,12,10,12,43,50
10,Hertha Berlin,34,44,12,8,14,39,44
11,Karlsruher SC,34,43,11,10,13,38,53
12,Bochum,34,41,10,11,13,48,54
13,Borussia Dortmund,34,40,10,10,14,50,62
14,Energie Cottbus,34,36,9,9,16,35,56
15,Arminia Bielefeld,34,34,8,10,16,35,60
16,Nuernberg,34,31,7,10,17,35,51
17,Hansa Rostock,34,30,8,6,20,30,52
18,Duisburg,34,29,8,5,21,36,55
