Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Bayern Munich,34,88,28,4,2,80,17
2,Borussia Dortmund,34,78,24,6,4,82,34
3,Bayer Leverkusen,34,60,18,6,10,56,40
4,Borussia Moenchengladbach,34,55,17,4,13,67,50
5,Schalke 04,34,52,15,7,12,51,49
6,Mainz 05,34,50,14,8,12,46,42
7,Hertha Berlin,34,50,14,8,12,42,42
8,Wolfsburg,34,45,12,9,13,47,49
9,FC Köln,34,43,10,13,11,38,42
10,Hamburger SV,34,41,11,8,15,40,46
11,Ingolstadt,34,40,10,10,14,33,42
12,Augsburg,34,38,9,11,14,42,52
13,Darmstadt,34,38,9,11,14,38,53
14,Werder Bremen,34,38,10,8,16,50,65
15,Hoffenheim,34,37,9,10,15,39,54
16,Eintracht Frankfurt,34,36,9,9,16,34,52
17,VfB Stuttgart,34,33,9,6,19,50,75
18,Hannover 96,34,25,7,4,23,31,62
