Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Bayern Munich,34,75,22,9,3,67,32
2,Werder Bremen,34,70,21,7,6,79,37
3,Hamburger SV,34,68,21,5,8,53,30
4,Schalke 04,34,61,16,13,5,47,31
5,Bayer Leverkusen,34,52,14,10,10,64,49
6,Hertha Berlin,34,48,12,12,10,52,48
7,Borussia Dortmund,34,46,11,13,10,45,42
8,Nuernberg,34,44,12,8,14,49,51
9,VfB Stuttgart,34,43,9,16,9,37,39
10,Borussia Moenchengladbach,34,42,10,12,12,42,50
11,Mainz 05,34,38,9,11,14,46,47
12,Hannover 96,34,38,7,17,10,43,47
13,Arminia Bielefeld,34,37,10,7,17,32,47
14,Eintracht Frankfurt,34,36,9,9,16,42,51
15,Wolfsburg,34,34,7,13,14,33,55
16,Kaiserslautern,34,33,8,9,17,47,71
17,FC Köln,34,30,7,9,18,49,71
18,Duisburg,34,27,5,12,17,34,63
