Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Borussia Dortmund,34,75,23,6,5,67,22
2,Bayer Leverkusen,34,68,20,8,6,64,44
3,Bayern Munich,34,65,19,8,7,81,40
4,Hannover 96,34,60,19,3,12,49,45
5,Mainz 05,34,58,18,4,12,52,39
6,Nuernberg,34,47,13,8,13,47,45
7,Kaiserslautern,34,46,13,7,14,48,51
8,Hamburger SV,34,45,12,9,13,46,52
9,Freiburg,34,44,13,5,16,41,50
10,FC Köln,34,44,13,5,16,47,62
11,Hoffenheim,34,43,11,10,13,50,50
12,VfB Stuttgart,34,42,12,6,16,60,59
13,Werder Bremen,34,41,10,11,13,47,61
14,Schalke 04,34,40,11,7,16,38,44
15,Wolfsburg,34,38,9,11,14,43,48
16,Borussia Moenchengladbach,34,36,10,6,18,48,65
17,Eintracht Frankfurt,34,34,9,7,18,31,49
18,St. Pauli,34,29,8,5,21,35,68
