Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Borussia Dortmund,34,81,25,6,3,80,25
2,Bayern Munich,34,73,23,4,7,77,22
3,Schalke 04,34,64,20,4,10,74,44
4,Borussia Moenchengladbach,34,60,17,9,8,49,24
5,Bayer Leverkusen,34,54,15,9,10,52,44
6,VfB Stuttgart,34,53,15,8,11,63,46
7,Hannover 96,34,48,12,12,10,41,45
8,Wolfsburg,34,44,13,5,16,47,60
9,Werder Bremen,34,42,11,9,14,49,58
10,Nuernberg,34,42,12,6,16,38,49
11,Hoffenheim,34,41,10,11,13,41,47
12,Freiburg,34,40,10,10,14,45,61
13,Mainz 05,34,39,9,12,13,47,51
14,Augsburg,34,38,8,14,12,36,49
15,Hamburger SV,34,36,8,12,14,35,57
16,Hertha Berlin,34,31,7,10,17,38,64
17,FC Köln,34,30,8,6,20,39,75
18,Kaiserslautern,34,23,4,11,19,24,54
