Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Bayern Munich,34,90,29,3,2,94,23
2,Borussia Dortmund,34,71,22,5,7,80,38
3,Schalke 04,34,64,19,7,8,63,43
4,Bayer Leverkusen,34,61,19,4,11,60,41
5,Wolfsburg,34,60,18,6,10,63,50
6,Borussia Moenchengladbach,34,55,16,7,11,59,43
7,Mainz 05,34,53,16,5,13,52,54
8,Augsburg,34,52,15,7,12,47,47
9,Hoffenheim,34,44,11,11,12,72,70
10,Hannover 96,34,42,12,6,16,46,59
11,Hertha Berlin,34,41,11,8,15,40,48
12,Werder Bremen,34,39,10,9,15,42,66
13,Eintracht Frankfurt,34,36,9,9,16,40,57
14,Freiburg,34,36,9,9,16,43,61
15,VfB Stuttgart,34,32,8,8,18,49,62
16,Hamburger SV,34,27,7,6,21,51,75
17,Nuernberg,34,26,5,11,18,37,70
18,Eintracht Braunschweig,34,25,6,7,21,29,60
