Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Bayern Munich,34,75,23,6,5,70,25
2,VfB Stuttgart,34,59,17,8,9,53,39
3,Borussia Dortmund,34,58,15,13,6,51,27
4,Hamburger SV,34,56,15,11,8,46,36
5,Hertha Berlin,34,54,16,6,12,52,43
6,Werder Bremen,34,52,16,4,14,51,50
7,Schalke 04,34,49,12,13,9,46,40
8,Wolfsburg,34,46,13,7,14,39,42
9,1860 Muenchen,34,45,12,9,13,44,52
10,Bochum,34,45,12,9,13,55,56
11,Hannover 96,34,43,12,7,15,47,57
12,Borussia Moenchengladbach,34,42,11,9,14,43,45
13,Hansa Rostock,34,41,11,8,15,35,41
14,Bayer Leverkusen,34,40,11,7,16,47,56
15,Kaiserslautern,34,40,10,10,14,40,42
16,Arminia Bielefeld,34,36,8,12,14,35,46
17,Energie Cottbus,34,30,7,9,18,34,64
18,Nuernberg,34,30,8,6,20,33,60
