Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Bayern Munich,34,70,20,10,4,72,31
2,Schalke 04,34,65,19,8,7,53,31
3,Werder Bremen,34,61,17,10,7,71,40
4,Bayer Leverkusen,34,59,15,14,5,65,38
5,Borussia Dortmund,34,57,16,9,9,54,42
6,VfB Stuttgart,34,55,15,10,9,51,41
7,Hamburger SV,34,52,13,13,8,56,41
8,Wolfsburg,34,50,14,8,12,64,58
9,Mainz 05,34,47,12,11,11,36,42
10,Eintracht Frankfurt,34,46,12,10,12,47,54
11,Hoffenheim,34,42,11,9,14,44,42
12,Borussia Moenchengladbach,34,39,10,9,15,43,60
13,FC Köln,34,38,9,11,14,33,42
14,Freiburg,34,35,9,8,17,35,59
15,Hannover 96,34,33,9,6,19,43,67
16,Nuernberg,34,31,8,7,19,32,58
17,Bochum,34,28,6,10,18,33,64
18,Hertha Berlin,34,24,5,9,20,34,56
