Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Bayern Munich,34,63,19,6,9,62,37
2,Schalke 04,34,62,18,8,8,65,35
3,Borussia Dortmund,34,58,16,10,8,62,42
4,Bayer Leverkusen,34,57,17,6,11,54,40
5,Hertha Berlin,34,56,18,2,14,58,52
6,Freiburg,34,55,15,10,9,54,37
7,Werder Bremen,34,53,15,8,11,53,48
8,Kaiserslautern,34,50,15,5,14,49,54
9,Wolfsburg,34,47,12,11,11,60,45
10,FC Köln,34,46,12,10,12,59,52
11,1860 Muenchen,34,44,12,8,14,43,55
12,Hansa Rostock,34,43,12,7,15,34,47
13,Hamburger SV,34,41,10,11,13,58,58
14,Energie Cottbus,34,39,12,3,19,38,52
15,VfB Stuttgart,34,38,9,11,14,42,49
16,Eintracht Frankfurt,34,35,10,5,19,41,68
17,Unterhaching,34,35,8,11,15,35,59
18,Bochum,34,27,7,6,21,30,67
