Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Bayern Munich,34,91,29,4,1,98,18
2,Borussia Dortmund,34,66,19,9,6,81,42
3,Bayer Leverkusen,34,65,19,8,7,65,39
4,Schalke 04,34,55,16,7,11,58,50
5,Freiburg,34,51,14,9,11,45,40
6,Eintracht Frankfurt,34,51,14,9,11,49,46
7,Hamburger SV,34,48,14,6,14,42,53
8,Borussia Moenchengladbach,34,47,12,11,11,45,49
9,Hannover 96,34,45,13,6,15,60,62
10,Nuernberg,34,44,11,11,12,39,47
11,Wolfsburg,34,43,10,13,11,47,52
12,VfB Stuttgart,34,43,12,7,15,37,55
13,Mainz 05,34,42,10,12,12,42,44
14,Werder Bremen,34,34,8,10,16,50,66
15,Augsburg,34,33,8,9,17,33,51
16,Hoffenheim,34,31,8,7,19,42,67
17,Fortuna Duesseldorf,34,30,7,9,18,39,57
18,Greuther Fuerth,34,21,4,9,21,26,60
