Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
juventus-turin,38,29,5,4,77,27,91,2.3947368421052633
as-rom,38,28,7,3,90,38,87,2.289473684210526
ssc-neapel,38,26,4,8,94,39,86,2.263157894736842
atalanta-bergamo,38,21,8,9,62,41,72,1.894736842105263
lazio-rom,38,21,10,7,74,51,70,1.8421052631578947
ac-mailand,38,18,11,9,57,45,63,1.6578947368421053
inter-mailand,38,19,14,5,72,49,62,1.631578947368421
ac-florenz,38,16,10,12,63,57,60,1.5789473684210527
fc-turin,38,13,11,14,71,66,53,1.394736842105263
uc-sampdoria,38,12,14,12,49,55,48,1.263157894736842
cagliari-calcio,38,14,19,5,55,76,47,1.236842105263158
us-sassuolo,38,13,18,7,58,63,46,1.2105263157894737
udinese-calcio,38,12,17,9,47,56,45,1.1842105263157894
chievo-verona,38,12,19,7,43,61,43,1.131578947368421
fc-bologna,38,11,19,8,40,58,41,1.0789473684210527
fc-genua-1893,38,9,20,9,38,64,36,0.9473684210526315
fc-crotone,38,9,22,7,34,58,34,0.8947368421052632
fc-empoli,38,8,22,8,29,61,32,0.8421052631578947
us-palermo,38,6,24,8,33,77,26,0.6842105263157895
delfino-pescara-1936,38,3,26,9,37,81,18,0.47368421052631576
