Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
as-rom,34,22,3,9,68,33,75,2.2058823529411766
juventus-turin,34,21,3,10,61,27,73,2.1470588235294117
lazio-rom,34,21,7,6,65,36,69,2.0294117647058822
fc-parma,34,16,10,8,51,31,56,1.6470588235294117
inter-mailand,34,14,11,9,47,47,51,1.5
ac-mailand,34,12,9,13,56,46,49,1.4411764705882353
atalanta-bergamo,34,10,10,14,38,34,44,1.2941176470588236
brescia-calcio,34,10,10,14,44,42,44,1.2941176470588236
ac-florenz,34,10,11,13,53,52,43,1.2647058823529411
fc-bologna,34,11,13,10,49,53,43,1.2647058823529411
ac-perugia-calcio,34,10,12,12,49,53,42,1.2352941176470589
udinese-calcio,34,11,18,5,49,59,38,1.1176470588235294
us-lecce,34,8,13,13,40,54,37,1.088235294117647
reggina-calcio,34,10,17,7,32,49,37,1.088235294117647
hellas-verona,34,10,17,7,40,59,37,1.088235294117647
vicenza-calcio,34,9,16,9,37,51,36,1.0588235294117647
ssc-neapel,34,8,14,12,35,51,36,1.0588235294117647
as-bari,34,5,24,5,31,68,20,0.5882352941176471
