Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
juventus-turin,34,21,2,11,67,28,74,2.176470588235294
inter-mailand,34,21,7,6,62,27,69,2.0294117647058822
udinese-calcio,34,19,8,7,62,40,64,1.8823529411764706
as-rom,34,16,7,11,67,42,59,1.7352941176470589
ac-florenz,34,15,7,12,65,36,57,1.6764705882352942
fc-parma,34,15,7,12,55,39,57,1.6764705882352942
lazio-rom,34,16,10,8,53,30,56,1.6470588235294117
fc-bologna,34,12,10,12,55,46,48,1.411764705882353
uc-sampdoria,34,13,12,9,52,55,48,1.411764705882353
ac-mailand,34,11,12,11,37,43,44,1.2941176470588236
as-bari,34,10,16,8,30,45,38,1.1176470588235294
piacenza-calcio-1919,34,7,11,16,29,38,37,1.088235294117647
fc-empoli,34,10,17,7,50,58,37,1.088235294117647
vicenza-calcio,34,9,16,9,36,61,36,1.0588235294117647
brescia-calcio,34,9,17,8,45,63,35,1.0294117647058822
atalanta-bergamo,34,7,16,11,25,48,32,0.9411764705882353
us-lecce,34,6,20,8,32,72,26,0.7647058823529411
ssc-neapel,34,2,24,8,25,76,14,0.4117647058823529
