Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
inter-mailand,38,25,3,10,69,26,85,2.236842105263158
as-rom,38,24,4,10,72,37,82,2.1578947368421053
juventus-turin,38,20,6,12,72,37,72,1.894736842105263
ac-florenz,38,19,10,9,55,39,66,1.736842105263158
ac-mailand,38,18,10,10,66,38,64,1.6842105263157894
uc-sampdoria,38,17,12,9,56,46,60,1.5789473684210527
udinese-calcio,38,16,13,9,48,53,57,1.5
ssc-neapel,38,14,16,8,50,53,50,1.3157894736842106
atalanta-bergamo,38,12,14,12,52,56,48,1.263157894736842
fc-genua-1893,38,13,16,9,44,52,48,1.263157894736842
us-palermo,38,12,15,11,47,57,47,1.236842105263158
lazio-rom,38,11,14,13,47,51,46,1.2105263157894737
ac-siena,38,9,12,17,40,45,44,1.1578947368421053
cagliari-calcio,38,11,18,9,40,56,42,1.105263157894737
fc-turin,38,8,14,16,36,49,40,1.0526315789473684
reggina-calcio,38,9,16,13,37,56,40,1.0526315789473684
catania-calcio,38,8,17,13,33,45,37,0.9736842105263158
fc-empoli,38,9,20,9,29,52,36,0.9473684210526315
fc-parma,38,7,18,13,42,62,34,0.8947368421052632
as-livorno,38,6,20,12,35,60,30,0.7894736842105263
