Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
inter-mailand,38,30,1,7,80,34,97,2.5526315789473686
as-rom,38,22,7,9,74,34,75,1.9736842105263157
lazio-rom,38,18,9,11,59,33,62,1.631578947368421
ac-mailand,38,19,7,12,57,36,61,1.605263157894737
us-palermo,38,16,12,10,58,51,58,1.5263157894736843
ac-florenz,38,21,7,10,62,31,58,1.5263157894736843
fc-empoli,38,14,12,12,42,43,54,1.4210526315789473
atalanta-bergamo,38,12,12,14,56,54,50,1.3157894736842106
uc-sampdoria,38,13,15,10,44,48,49,1.2894736842105263
udinese-calcio,38,12,16,10,49,55,46,1.2105263157894737
as-livorno,38,10,15,13,41,54,43,1.131578947368421
fc-parma,38,10,16,12,41,56,42,1.105263157894737
catania-calcio,38,10,17,11,46,68,41,1.0789473684210527
reggina-calcio,38,12,11,15,52,50,40,1.0526315789473684
ac-siena,38,9,15,14,35,45,40,1.0526315789473684
fc-turin,38,10,18,10,27,47,40,1.0526315789473684
cagliari-calcio,38,9,16,13,35,46,40,1.0526315789473684
chievo-verona,38,9,17,12,38,48,39,1.0263157894736843
ascoli-calcio,38,5,21,12,36,67,27,0.7105263157894737
acr-messina,38,5,22,11,37,69,26,0.6842105263157895
