Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
juventus-turin,38,27,5,6,71,24,87,2.289473684210526
ssc-neapel,38,23,6,9,73,36,78,2.0526315789473686
ac-mailand,38,21,8,9,67,39,72,1.894736842105263
ac-florenz,38,21,10,7,72,44,70,1.8421052631578947
udinese-calcio,38,18,8,12,59,45,66,1.736842105263158
as-rom,38,18,12,8,71,56,62,1.631578947368421
lazio-rom,38,18,13,7,51,42,61,1.605263157894737
catania-calcio,38,15,12,11,50,46,56,1.4736842105263157
inter-mailand,38,16,16,6,55,57,54,1.4210526315789473
fc-parma,38,13,15,10,45,46,49,1.2894736842105263
cagliari-calcio,38,12,15,11,43,55,47,1.236842105263158
chievo-verona,38,12,17,9,37,52,45,1.1842105263157894
fc-bologna,38,11,16,11,46,52,44,1.1578947368421053
uc-sampdoria,38,11,17,10,43,51,42,1.105263157894737
atalanta-bergamo,38,11,18,9,39,56,40,1.0526315789473684
fc-turin,38,8,14,16,46,55,39,1.0263157894736843
fc-genua-1893,38,8,16,14,38,52,38,1.0
us-palermo,38,6,18,14,34,54,32,0.8421052631578947
ac-siena,38,9,20,9,36,57,30,0.7894736842105263
delfino-pescara-1936,38,6,28,4,27,84,22,0.5789473684210527
