Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
juventus-turin,38,23,0,15,68,20,84,2.210526315789474
ac-mailand,38,24,6,8,74,33,80,2.1052631578947367
udinese-calcio,38,18,10,10,52,35,64,1.6842105263157894
lazio-rom,38,18,12,8,56,47,62,1.631578947368421
ssc-neapel,38,16,9,13,66,46,61,1.605263157894737
inter-mailand,38,17,14,7,58,55,58,1.5263157894736843
as-rom,38,16,14,8,60,54,56,1.4736842105263157
fc-parma,38,15,12,11,54,53,56,1.4736842105263157
fc-bologna,38,13,13,12,41,43,51,1.3421052631578947
chievo-verona,38,12,13,13,35,45,49,1.2894736842105263
catania-calcio,38,11,12,15,47,52,48,1.263157894736842
atalanta-bergamo,38,13,12,13,41,43,46,1.2105263157894737
ac-florenz,38,11,14,13,37,43,46,1.2105263157894737
ac-siena,38,11,16,11,45,45,44,1.1578947368421053
cagliari-calcio,38,10,15,13,37,46,43,1.131578947368421
us-palermo,38,11,17,10,52,62,43,1.131578947368421
fc-genua-1893,38,11,18,9,50,69,42,1.105263157894737
us-lecce,38,8,18,12,40,56,36,0.9473684210526315
novara-calcio-1908,38,7,20,11,35,65,32,0.8421052631578947
ac-cesena,38,4,24,10,24,60,22,0.5789473684210527
