Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
ac-mailand,38,24,4,10,65,24,82,2.1578947368421053
inter-mailand,38,23,8,7,69,42,76,2.0
ssc-neapel,38,21,10,7,59,39,70,1.8421052631578947
udinese-calcio,38,20,12,6,65,43,66,1.736842105263158
lazio-rom,38,20,12,6,55,39,66,1.736842105263158
as-rom,38,18,11,9,59,52,63,1.6578947368421053
juventus-turin,38,15,10,13,57,47,58,1.5263157894736843
us-palermo,38,17,16,5,58,63,56,1.4736842105263157
ac-florenz,38,12,11,15,49,44,51,1.3421052631578947
fc-genua-1893,38,14,15,9,45,47,51,1.3421052631578947
chievo-verona,38,11,14,13,38,40,46,1.2105263157894737
fc-parma,38,11,14,13,39,47,46,1.2105263157894737
catania-calcio,38,12,16,10,40,52,46,1.2105263157894737
cagliari-calcio,38,12,17,9,44,51,45,1.1842105263157894
ac-cesena,38,11,17,10,38,50,43,1.131578947368421
fc-bologna,38,11,15,12,35,52,42,1.105263157894737
us-lecce,38,11,19,8,46,66,41,1.0789473684210527
uc-sampdoria,38,8,18,12,33,49,36,0.9473684210526315
brescia-calcio,38,7,20,11,34,52,32,0.8421052631578947
as-bari,38,5,24,9,27,56,24,0.631578947368421
