Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
juventus-turin,38,29,5,4,75,20,91,2.3947368421052633
ssc-neapel,38,25,6,7,80,32,82,2.1578947368421053
as-rom,38,23,4,11,83,41,80,2.1052631578947367
inter-mailand,38,20,11,7,50,38,67,1.763157894736842
ac-florenz,38,18,10,10,60,42,64,1.6842105263157894
us-sassuolo,38,16,9,13,49,40,61,1.605263157894737
ac-mailand,38,15,11,12,49,43,57,1.5
lazio-rom,38,15,14,9,52,52,54,1.4210526315789473
chievo-verona,38,13,14,11,43,45,50,1.3157894736842106
fc-empoli,38,12,16,10,40,49,46,1.2105263157894737
fc-genua-1893,38,13,18,7,45,48,46,1.2105263157894737
fc-turin,38,12,17,9,52,55,45,1.1842105263157894
atalanta-bergamo,38,11,15,12,41,47,45,1.1842105263157894
fc-bologna,38,11,18,9,33,45,42,1.105263157894737
uc-sampdoria,38,10,18,10,48,61,40,1.0526315789473684
us-palermo,38,10,19,9,38,65,39,1.0263157894736843
udinese-calcio,38,10,19,9,35,60,39,1.0263157894736843
carpi-fc-1909,38,9,18,11,37,57,38,1.0
frosinone-calcio,38,8,23,7,35,76,31,0.8157894736842105
hellas-verona,38,5,20,13,34,63,28,0.7368421052631579
