Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
juventus-turin,34,17,3,14,51,24,65,1.911764705882353
fc-parma,34,18,7,9,41,26,63,1.8529411764705883
inter-mailand,34,15,5,14,51,35,59,1.7352941176470589
lazio-rom,34,15,9,10,54,37,55,1.6176470588235294
udinese-calcio,34,15,10,9,53,41,54,1.588235294117647
uc-sampdoria,34,14,9,11,60,46,53,1.5588235294117647
fc-bologna,34,13,11,10,50,44,49,1.4411764705882353
vicenza-calcio,34,12,11,11,43,38,47,1.3823529411764706
ac-florenz,34,10,9,15,46,41,45,1.3235294117647058
atalanta-bergamo,34,11,12,11,44,46,44,1.2941176470588236
ac-mailand,34,11,13,10,43,45,43,1.2647058823529411
as-rom,34,10,13,11,46,47,41,1.2058823529411764
ssc-neapel,34,9,11,14,38,45,41,1.2058823529411764
cagliari-calcio,34,9,15,10,45,55,37,1.088235294117647
piacenza-calcio-1919,34,7,11,16,29,45,37,1.088235294117647
ac-perugia-calcio,34,10,17,7,48,62,37,1.088235294117647
hellas-verona,34,6,19,9,38,64,27,0.7941176470588235
ac-reggiana-1919,34,2,19,13,28,67,19,0.5588235294117647
