Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
juventus-turin,34,20,3,11,64,23,71,2.088235294117647
as-rom,34,19,2,13,58,24,70,2.0588235294117645
inter-mailand,34,20,5,9,62,35,69,2.0294117647058822
ac-mailand,34,14,7,13,47,33,55,1.6176470588235294
chievo-verona,34,14,8,12,57,52,54,1.588235294117647
lazio-rom,34,14,9,11,50,37,53,1.5588235294117647
fc-bologna,34,15,12,7,40,40,52,1.5294117647058822
ac-perugia-calcio,34,13,14,7,38,46,46,1.3529411764705883
atalanta-bergamo,34,12,13,9,41,50,45,1.3235294117647058
fc-parma,34,12,14,8,43,47,44,1.2941176470588236
fc-turin,34,10,11,13,37,39,43,1.2647058823529411
piacenza-calcio-1919,34,11,14,9,49,43,42,1.2352941176470589
brescia-calcio,34,9,12,13,43,52,40,1.1764705882352942
udinese-calcio,34,11,16,7,41,52,40,1.1764705882352942
hellas-verona,34,11,17,6,41,53,39,1.1470588235294117
us-lecce,34,6,18,10,36,56,28,0.8235294117647058
ac-florenz,34,5,22,7,29,63,22,0.6470588235294118
fbc-unione-venezia,34,3,22,9,30,61,18,0.5294117647058824
