Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
inter-mailand,38,23,8,7,68,30,76,2.0
as-rom,38,19,7,12,70,42,69,1.8157894736842106
ac-mailand,38,28,6,4,85,31,58,1.5263157894736843
chievo-verona,38,13,10,15,54,49,54,1.4210526315789473
us-palermo,38,13,12,13,50,52,52,1.368421052631579
as-livorno,38,12,13,13,37,44,49,1.2894736842105263
fc-parma,38,12,17,9,46,60,45,1.1842105263157894
fc-empoli,38,13,19,6,47,61,45,1.1842105263157894
ac-florenz,38,22,8,8,66,41,44,1.1578947368421053
ascoli-calcio,38,9,13,16,43,53,43,1.131578947368421
udinese-calcio,38,11,17,10,40,54,43,1.131578947368421
reggina-calcio,38,11,19,8,39,65,41,1.0789473684210527
uc-sampdoria,38,10,17,11,47,51,41,1.0789473684210527
cagliari-calcio,38,8,15,15,42,55,39,1.0263157894736843
ac-siena,38,9,17,12,42,60,39,1.0263157894736843
lazio-rom,38,16,8,14,57,47,32,0.8421052631578947
acr-messina,38,6,19,13,33,59,31,0.8157894736842105
us-lecce,38,7,23,8,30,57,29,0.7631578947368421
fc-treviso,38,3,23,12,24,56,21,0.5526315789473685
juventus-turin,38,27,1,10,71,24,0,0.0
