Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
ac-mailand,34,25,2,7,65,24,82,2.411764705882353
as-rom,34,21,5,8,68,19,71,2.088235294117647
juventus-turin,34,21,7,6,67,42,69,2.0294117647058822
inter-mailand,34,17,9,8,59,37,59,1.7352941176470589
fc-parma,34,16,8,10,57,46,58,1.7058823529411764
lazio-rom,34,16,10,8,52,38,56,1.6470588235294117
udinese-calcio,34,13,10,11,44,40,50,1.4705882352941178
uc-sampdoria,34,11,10,13,40,42,46,1.3529411764705883
chievo-verona,34,11,12,11,36,37,44,1.2941176470588236
us-lecce,34,11,15,8,43,56,41,1.2058823529411764
brescia-calcio,34,9,12,13,52,57,40,1.1764705882352942
fc-bologna,34,10,15,9,45,53,39,1.1470588235294117
reggina-calcio,34,6,12,16,29,45,34,1.0
ac-siena,34,8,16,10,41,54,34,1.0
ac-perugia-calcio,34,6,14,14,44,56,32,0.9411764705882353
modena-fc-1912,34,6,16,12,27,46,30,0.8823529411764706
fc-empoli,34,7,18,9,26,54,30,0.8823529411764706
us-ancona,34,2,25,7,21,70,13,0.38235294117647056
