Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
inter-mailand,38,24,4,10,75,34,82,2.1578947368421053
as-rom,38,24,6,8,68,41,80,2.1052631578947367
ac-mailand,38,20,8,10,60,39,70,1.8421052631578947
uc-sampdoria,38,19,9,10,49,41,67,1.763157894736842
us-palermo,38,18,9,11,59,47,65,1.7105263157894737
ssc-neapel,38,15,9,14,50,43,59,1.5526315789473684
juventus-turin,38,16,15,7,55,56,55,1.4473684210526316
fc-parma,38,14,14,10,46,51,52,1.368421052631579
fc-genua-1893,38,14,15,9,57,61,51,1.3421052631578947
as-bari,38,13,14,11,49,49,50,1.3157894736842106
ac-florenz,38,13,17,8,48,47,47,1.236842105263158
lazio-rom,38,11,14,13,39,43,46,1.2105263157894737
catania-calcio,38,10,13,15,44,45,45,1.1842105263157894
chievo-verona,38,12,18,8,37,42,44,1.1578947368421053
udinese-calcio,38,11,16,11,54,59,44,1.1578947368421053
cagliari-calcio,38,11,16,11,56,58,44,1.1578947368421053
fc-bologna,38,10,16,12,42,55,42,1.105263157894737
atalanta-bergamo,38,9,21,8,37,53,35,0.9210526315789473
ac-siena,38,7,21,10,40,67,31,0.8157894736842105
as-livorno,38,7,23,8,27,61,29,0.7631578947368421
