Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
lazio-rom,34,21,4,9,64,33,72,2.1176470588235294
juventus-turin,34,21,5,8,46,20,71,2.088235294117647
ac-mailand,34,16,5,13,65,40,61,1.7941176470588236
inter-mailand,34,17,10,7,58,36,58,1.7058823529411764
fc-parma,34,16,8,10,52,37,58,1.7058823529411764
as-rom,34,14,8,12,57,34,54,1.588235294117647
ac-florenz,34,13,9,12,48,38,51,1.5
udinese-calcio,34,13,10,11,55,45,50,1.4705882352941178
hellas-verona,34,10,11,13,40,45,43,1.2647058823529411
ac-perugia-calcio,34,12,16,6,36,52,42,1.2352941176470589
reggina-calcio,34,9,12,13,31,42,40,1.1764705882352942
fc-bologna,34,9,12,13,32,39,40,1.1764705882352942
us-lecce,34,10,14,10,33,49,40,1.1764705882352942
as-bari,34,10,15,9,34,48,39,1.1470588235294117
fc-turin,34,8,14,12,35,47,36,1.0588235294117647
fbc-unione-venezia,34,6,20,8,30,60,26,0.7647058823529411
cagliari-calcio,34,3,18,13,29,54,22,0.6470588235294118
piacenza-calcio-1919,34,4,21,9,19,45,21,0.6176470588235294
