Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
juventus-turin,38,33,2,3,80,23,102,2.6842105263157894
as-rom,38,26,5,7,72,25,85,2.236842105263158
ssc-neapel,38,23,6,9,77,39,78,2.0526315789473686
ac-florenz,38,19,11,8,65,44,65,1.7105263157894737
inter-mailand,38,15,8,15,62,39,60,1.5789473684210527
fc-parma,38,15,10,13,58,46,58,1.5263157894736843
ac-mailand,38,16,13,9,57,49,57,1.5
fc-turin,38,15,11,12,58,48,57,1.5
lazio-rom,38,15,12,11,54,54,56,1.4736842105263157
hellas-verona,38,16,16,6,62,68,54,1.4210526315789473
atalanta-bergamo,38,15,18,5,43,51,50,1.3157894736842106
uc-sampdoria,38,12,17,9,48,62,45,1.1842105263157894
udinese-calcio,38,12,18,8,46,57,44,1.1578947368421053
fc-genua-1893,38,11,16,11,41,50,44,1.1578947368421053
cagliari-calcio,38,9,17,12,34,53,39,1.0263157894736843
chievo-verona,38,10,22,6,34,54,36,0.9473684210526315
us-sassuolo,38,9,22,7,43,72,34,0.8947368421052632
catania-calcio,38,8,22,8,34,66,32,0.8421052631578947
fc-bologna,38,5,19,14,28,58,29,0.7631578947368421
as-livorno,38,6,25,7,39,77,25,0.6578947368421053
