Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
ac-mailand,34,21,3,10,60,24,73,2.1470588235294117
juventus-turin,34,19,7,8,58,35,65,1.911764705882353
lazio-rom,34,17,9,8,66,38,59,1.7352941176470589
ac-florenz,34,17,9,8,53,41,59,1.7352941176470589
as-rom,34,16,8,10,51,34,58,1.7058823529411764
fc-parma,34,16,8,10,44,31,58,1.7058823529411764
inter-mailand,34,15,10,9,51,30,54,1.588235294117647
uc-sampdoria,34,14,10,10,59,47,52,1.5294117647058822
vicenza-calcio,34,13,11,10,36,37,49,1.4411764705882353
cagliari-calcio,34,11,15,8,34,47,41,1.2058823529411764
udinese-calcio,34,11,15,8,41,49,41,1.2058823529411764
ssc-neapel,34,10,13,11,28,41,41,1.2058823529411764
atalanta-bergamo,34,11,17,6,38,50,39,1.1470588235294117
piacenza-calcio-1919,34,9,15,10,31,48,37,1.088235294117647
as-bari,34,8,18,8,49,71,32,0.9411764705882353
fc-turin,34,6,17,11,28,46,29,0.8529411764705882
us-cremonese,34,5,17,12,37,57,27,0.7941176470588235
ac-padova,34,7,24,3,41,79,24,0.7058823529411765
