Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
juventus-turin,34,21,4,9,64,29,72,2.1176470588235294
inter-mailand,34,19,7,8,64,38,65,1.911764705882353
ac-mailand,34,18,9,7,55,30,61,1.7941176470588236
lazio-rom,34,15,4,15,57,32,60,1.7647058823529411
fc-parma,34,15,8,11,55,36,56,1.6470588235294117
udinese-calcio,34,16,10,8,38,35,56,1.6470588235294117
chievo-verona,34,16,11,7,51,39,55,1.6176470588235294
as-rom,34,13,11,10,55,46,49,1.4411764705882353
brescia-calcio,34,9,10,15,36,38,42,1.2352941176470589
ac-perugia-calcio,34,10,12,12,40,48,42,1.2352941176470589
fc-bologna,34,10,13,11,39,47,41,1.2058823529411764
modena-fc-1912,34,9,14,11,30,48,38,1.1176470588235294
fc-empoli,34,9,14,11,36,46,38,1.1176470588235294
atalanta-bergamo,34,8,12,14,35,47,38,1.1176470588235294
reggina-calcio,34,10,16,8,38,53,38,1.1176470588235294
piacenza-calcio-1919,34,8,20,6,44,62,30,0.8823529411764706
calcio-como,34,4,18,12,29,57,24,0.7058823529411765
fc-turin,34,4,21,9,23,58,21,0.6176470588235294
