Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
olympique-lyon,38,24,7,7,64,26,79,2.0789473684210527
fc-paris-saint-germain,38,22,6,10,50,28,76,2.0
as-monaco,38,21,5,12,59,30,75,1.9736842105263157
aj-auxerre,38,19,11,8,60,34,65,1.7105263157894737
fc-sochaux-montbeliard,38,18,11,9,54,42,63,1.6578947368421053
fc-nantes,38,17,12,9,47,35,60,1.5789473684210527
olympique-marseille,38,17,15,6,51,45,57,1.5
rc-lens,38,15,15,8,34,48,53,1.394736842105263
fc-stade-rennes,38,14,14,10,56,44,52,1.368421052631579
osc-lille,38,14,15,9,41,41,51,1.3421052631578947
ogc-nizza,38,11,10,17,42,39,50,1.3157894736842106
fc-girondins-bordeaux,38,13,14,11,40,43,50,1.3157894736842106
racing-strassburg,38,10,15,13,43,50,43,1.131578947368421
fc-metz,38,11,18,9,34,42,42,1.105263157894737
ac-ajaccio,38,10,18,10,33,55,40,1.0526315789473684
fc-toulouse,38,9,17,12,31,44,39,1.0263157894736843
sc-bastia,38,9,17,12,33,49,39,1.0263157894736843
ea-guingamp,38,10,20,8,36,58,38,1.0
fc-le-mans,38,9,18,11,35,57,38,1.0
hsc-montpellier,38,8,23,7,41,74,31,0.8157894736842105
