Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
as-monaco,34,20,9,5,69,38,65,1.911764705882353
fc-paris-saint-germain,34,16,8,10,54,40,58,1.7058823529411764
olympique-lyon,34,16,10,8,45,42,56,1.6470588235294117
fc-girondins-bordeaux,34,15,10,9,52,40,54,1.588235294117647
rc-lens,34,14,13,7,42,41,49,1.4411764705882353
as-saint-etienne,34,13,12,9,46,47,48,1.411764705882353
cs-sedan-ardennes,34,13,12,9,43,44,48,1.411764705882353
aj-auxerre,34,13,13,8,37,39,47,1.3823529411764706
racing-strassburg,34,13,14,7,42,52,46,1.3529411764705883
sc-bastia,34,11,11,12,43,39,45,1.3235294117647058
fc-metz,34,9,8,17,38,33,44,1.2941176470588236
fc-nantes,34,12,15,7,39,40,43,1.2647058823529411
fc-stade-rennes,34,12,15,7,44,48,43,1.2647058823529411
es-troyes-ac,34,13,17,4,36,52,43,1.2647058823529411
olympique-marseille,34,9,10,15,45,45,42,1.2352941176470589
as-nancy-lorraine,34,11,14,9,43,45,42,1.2352941176470589
ac-le-havre,34,9,18,7,30,52,34,1.0
hsc-montpellier,34,7,17,10,39,50,31,0.9117647058823529
