Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
olympique-lyon,38,22,3,13,56,22,79,2.0789473684210527
osc-lille,38,18,7,13,52,29,67,1.763157894736842
as-monaco,38,15,5,18,52,35,63,1.6578947368421053
fc-stade-rennes,38,15,13,10,49,42,55,1.4473684210526316
olympique-marseille,38,15,13,10,47,42,55,1.4473684210526316
as-saint-etienne,38,12,9,17,47,34,53,1.394736842105263
rc-lens,38,13,12,13,45,39,52,1.368421052631579
aj-auxerre,38,14,14,10,48,47,52,1.368421052631579
fc-paris-saint-germain,38,12,11,15,40,41,51,1.3421052631578947
fc-sochaux-montbeliard,38,13,14,11,42,41,50,1.3157894736842106
racing-strassburg,38,12,14,12,42,43,48,1.263157894736842
ogc-nizza,38,10,12,16,38,45,46,1.2105263157894737
fc-toulouse,38,12,16,10,36,43,46,1.2105263157894737
ac-ajaccio,38,10,13,15,36,40,45,1.1842105263157894
fc-girondins-bordeaux,38,8,10,20,37,41,44,1.1578947368421053
fc-metz,38,10,14,14,33,45,44,1.1578947368421053
fc-nantes,38,10,15,13,33,38,43,1.131578947368421
sm-caen,38,10,16,12,36,60,42,1.105263157894737
sc-bastia,38,11,19,8,32,48,41,1.0789473684210527
fc-istres,38,6,18,14,25,51,32,0.8421052631578947
