Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
as-monaco,38,30,3,5,107,31,95,2.5
fc-paris-saint-germain,38,27,5,6,83,27,87,2.289473684210526
ogc-nizza,38,22,4,12,63,36,78,2.0526315789473686
olympique-lyon,38,20,13,5,77,48,67,1.763157894736842
olympique-marseille,38,17,10,11,57,41,62,1.631578947368421
fc-girondins-bordeaux,38,15,9,14,53,43,59,1.5526315789473684
fc-nantes,38,14,15,9,40,54,51,1.3421052631578947
as-saint-etienne,38,12,12,14,41,42,50,1.3157894736842106
fc-stade-rennes,38,12,12,14,36,42,50,1.3157894736842106
ea-guingamp,38,14,16,8,46,53,50,1.3157894736842106
osc-lille,38,13,18,7,40,47,46,1.2105263157894737
sco-angers,38,13,18,7,40,49,46,1.2105263157894737
fc-toulouse,38,10,14,14,37,41,44,1.1578947368421053
fc-metz,38,11,17,10,39,72,43,1.131578947368421
hsc-montpellier,38,10,19,9,48,66,39,1.0263157894736843
fco-dijon,38,8,17,13,46,58,37,0.9736842105263158
sm-caen,38,10,21,7,36,65,37,0.9736842105263158
fc-lorient,38,10,22,6,44,70,36,0.9473684210526315
as-nancy-lorraine,38,9,21,8,29,52,35,0.9210526315789473
sc-bastia,38,8,19,11,29,54,34,0.8947368421052632
