Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
olympique-lyon,38,19,8,11,63,41,68,1.7894736842105263
as-monaco,38,19,9,10,66,33,67,1.763157894736842
olympique-marseille,38,19,11,8,41,36,65,1.7105263157894737
fc-girondins-bordeaux,38,18,10,10,57,36,64,1.6842105263157894
fc-sochaux-montbeliard,38,17,8,13,46,31,64,1.6842105263157894
aj-auxerre,38,18,10,10,38,29,64,1.6842105263157894
ea-guingamp,38,19,14,5,59,46,62,1.631578947368421
rc-lens,38,14,9,15,43,31,57,1.5
fc-nantes,38,16,14,8,37,39,56,1.4736842105263157
ogc-nizza,38,13,9,16,39,31,55,1.4473684210526316
fc-paris-saint-germain,38,14,12,12,47,36,54,1.4210526315789473
sc-bastia,38,12,15,11,40,48,47,1.236842105263158
racing-strassburg,38,11,15,12,40,54,45,1.1842105263157894
osc-lille,38,10,16,12,29,44,42,1.105263157894737
fc-stade-rennes,38,10,18,10,35,45,40,1.0526315789473684
hsc-montpellier,38,10,18,10,37,54,40,1.0526315789473684
ac-ajaccio,38,9,17,12,29,49,39,1.0263157894736843
ac-le-havre,38,10,20,8,27,47,38,1.0
cs-sedan-ardennes,38,9,20,9,41,59,36,0.9473684210526315
es-troyes-ac,38,7,21,10,23,48,31,0.8157894736842105
