Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-nantes,34,21,8,5,58,36,68,2.0
olympique-lyon,34,17,4,13,57,30,64,1.8823529411764706
osc-lille,34,16,7,11,43,27,59,1.7352941176470589
fc-girondins-bordeaux,34,15,7,12,48,33,57,1.6764705882352942
cs-sedan-ardennes,34,14,10,10,47,40,52,1.5294117647058822
fc-stade-rennes,34,15,14,5,46,37,50,1.4705882352941178
es-troyes-ac,34,11,10,13,45,47,46,1.3529411764705883
sc-bastia,34,13,15,6,45,41,45,1.3235294117647058
fc-paris-saint-germain,34,12,14,8,44,45,44,1.2941176470588236
ea-guingamp,34,11,12,11,40,48,44,1.2941176470588236
as-monaco,34,12,15,7,53,50,43,1.2647058823529411
fc-metz,34,11,14,9,35,44,42,1.2352941176470589
aj-auxerre,34,11,15,8,31,41,41,1.2058823529411764
rc-lens,34,9,12,13,37,39,40,1.1764705882352942
olympique-marseille,34,11,16,7,31,40,40,1.1764705882352942
as-saint-etienne,34,9,15,10,43,56,37,1.088235294117647
fc-toulouse,34,8,16,10,34,50,34,1.0
racing-strassburg,34,7,19,8,28,61,29,0.8529411764705882
