Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
olympique-marseille,38,23,6,9,69,36,78,2.0526315789473686
olympique-lyon,38,20,6,12,64,38,72,1.894736842105263
aj-auxerre,38,20,7,11,42,29,71,1.868421052631579
osc-lille,38,21,10,7,72,40,70,1.8421052631578947
hsc-montpellier,38,20,9,9,50,40,69,1.8157894736842106
fc-girondins-bordeaux,38,19,12,7,58,40,64,1.6842105263157894
fc-lorient,38,16,12,10,54,42,58,1.5263157894736843
as-monaco,38,15,13,10,39,45,55,1.4473684210526316
fc-stade-rennes,38,14,13,11,52,41,53,1.394736842105263
fc-valenciennes,38,14,14,10,50,50,52,1.368421052631579
rc-lens,38,12,14,12,40,44,48,1.263157894736842
as-nancy-lorraine,38,13,16,9,46,53,48,1.263157894736842
fc-paris-saint-germain,38,12,15,11,50,46,47,1.236842105263158
fc-toulouse,38,12,15,11,36,36,47,1.236842105263158
ogc-nizza,38,11,16,11,41,57,44,1.1578947368421053
fc-sochaux-montbeliard,38,11,19,8,28,52,41,1.0789473684210527
as-saint-etienne,38,10,18,10,27,45,40,1.0526315789473684
fc-le-mans,38,8,22,8,36,59,32,0.8421052631578947
us-boulogne,38,7,21,10,31,62,31,0.8157894736842105
grenoble-foot-38,38,5,25,8,31,61,23,0.6052631578947368
