Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-paris-saint-germain,38,24,3,11,83,36,83,2.1842105263157894
olympique-lyon,38,22,7,9,72,33,75,1.9736842105263157
as-monaco,38,20,7,11,51,26,71,1.868421052631579
olympique-marseille,38,21,11,6,76,42,69,1.8157894736842106
as-saint-etienne,38,19,7,12,51,30,69,1.8157894736842106
fc-girondins-bordeaux,38,17,9,12,47,44,63,1.6578947368421053
hsc-montpellier,38,16,14,8,46,39,56,1.4736842105263157
osc-lille,38,16,14,8,43,42,56,1.4736842105263157
fc-stade-rennes,38,13,14,11,35,42,50,1.3157894736842106
ea-guingamp,38,15,19,4,41,55,49,1.2894736842105263
ogc-nizza,38,13,16,9,44,53,48,1.263157894736842
sc-bastia,38,12,15,11,37,46,47,1.236842105263158
sm-caen,38,12,16,10,54,55,46,1.2105263157894737
fc-nantes,38,11,15,12,29,40,45,1.1842105263157894
stade-reims,38,12,18,8,47,66,44,1.1578947368421053
fc-lorient,38,12,19,7,44,50,43,1.131578947368421
fc-toulouse,38,12,20,6,43,64,42,1.105263157894737
fc-evian-thonon-gaillard,38,11,23,4,41,62,37,0.9736842105263158
fc-metz,38,7,22,9,31,61,30,0.7894736842105263
rc-lens,38,7,23,8,32,61,29,0.7631578947368421
