Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
osc-lille,38,21,4,13,68,36,76,2.0
olympique-marseille,38,18,6,14,62,39,68,1.7894736842105263
olympique-lyon,38,17,8,13,61,40,64,1.6842105263157894
fc-paris-saint-germain,38,15,8,15,56,41,60,1.5789473684210527
fc-sochaux-montbeliard,38,17,14,7,60,43,58,1.5263157894736843
fc-stade-rennes,38,15,12,11,38,35,56,1.4736842105263157
fc-girondins-bordeaux,38,12,11,15,43,42,51,1.3421052631578947
fc-toulouse,38,14,16,8,38,36,50,1.3157894736842106
aj-auxerre,38,10,9,19,45,41,49,1.2894736842105263
as-saint-etienne,38,12,13,13,46,47,49,1.2894736842105263
fc-lorient,38,12,13,13,46,48,49,1.2894736842105263
fc-valenciennes,38,10,10,18,45,41,48,1.263157894736842
as-nancy-lorraine,38,13,16,9,43,48,48,1.263157894736842
hsc-montpellier,38,12,15,11,32,43,47,1.236842105263158
sm-caen,38,11,14,13,46,51,46,1.2105263157894737
stade-brest-29,38,11,14,13,36,43,46,1.2105263157894737
ogc-nizza,38,11,14,13,33,48,46,1.2105263157894737
as-monaco,38,9,12,17,36,40,44,1.1578947368421053
rc-lens,38,7,17,14,35,58,35,0.9210526315789473
ac-arles-avignon,38,3,24,11,21,70,20,0.5263157894736842
