Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
rc-lens,34,21,8,5,55,30,68,2.0
fc-metz,34,20,6,8,48,28,68,2.0
as-monaco,34,18,11,5,51,33,59,1.7352941176470589
olympique-marseille,34,16,9,9,47,27,57,1.6764705882352942
fc-girondins-bordeaux,34,15,8,11,49,41,56,1.6470588235294117
olympique-lyon,34,16,13,5,39,37,53,1.5588235294117647
aj-auxerre,34,14,11,9,55,45,51,1.5
fc-paris-saint-germain,34,14,12,8,43,35,50,1.4705882352941178
sc-bastia,34,13,10,11,36,31,50,1.4705882352941178
ac-le-havre,34,10,10,14,38,35,44,1.2941176470588236
fc-nantes,34,11,15,8,35,41,41,1.2058823529411764
hsc-montpellier,34,10,13,11,32,42,41,1.2058823529411764
racing-strassburg,34,9,15,10,39,43,37,1.088235294117647
fc-stade-rennes,34,9,16,9,36,48,36,1.0588235294117647
fc-toulouse,34,9,16,9,26,46,36,1.0588235294117647
ea-guingamp,34,9,17,8,30,42,35,1.0294117647058822
lb-chateauroux,34,8,19,7,31,59,31,0.9117647058823529
as-cannes,34,7,20,7,32,59,28,0.8235294117647058
